Channel,Category,Items Sold,Gross Sales,Items Refunded,Refunds,Discounts & Comps,Net Sales,Taxes
Crabtree Valley Mall,Uncategorized,6,$72.03 ,0,$0.00 ,$0.00 ,$72.03 ,$5.22 
Crabtree Valley Mall,2 hounds,6,$219.02 ,0,$0.00 ,$0.00 ,$219.02 ,$15.89 
Crabtree Valley Mall,Answers,1,$7.49 ,0,$0.00 ,$0.00 ,$7.49 ,$0.54 
Crabtree Valley Mall,Ark Naturals,23,$227.77 ,0,$0.00 ,$0.00 ,$227.77 ,$16.49 
Crabtree Valley Mall,Aroma Paws,25,$374.75 ,0,$0.00 ,($7.49),$367.26 ,$26.65 
Crabtree Valley Mall,Austin & Kat,9,$205.91 ,0,$0.00 ,($32.00),$173.91 ,$12.61 
Crabtree Valley Mall,Barker's Bowtique,15,$177.85 ,0,$0.00 ,$0.00 ,$177.85 ,$12.90 
Crabtree Valley Mall,Baydog,13,$338.87 ,0,$0.00 ,$0.00 ,$338.87 ,$24.57 
Crabtree Valley Mall,Baylee Nasco,4,$384.96 ,0,$0.00 ,($129.99),$254.97 ,$18.47 
Crabtree Valley Mall,Big Spoon Roasters,1,$12.99 ,0,$0.00 ,$0.00 ,$12.99 ,$0.94 
Crabtree Valley Mall,Bitter Apple,1,$8.99 ,0,$0.00 ,$0.00 ,$8.99 ,$0.65 
Crabtree Valley Mall,Bocce's Bakery,38,$323.62 ,0,$0.00 ,($20.00),$303.62 ,$22.07 
Crabtree Valley Mall,Body Parts,1542,"$5,141.56 ",0,$0.00 ,($33.01),"$5,108.55 ",$370.32 
Crabtree Valley Mall,Bones & Co,62,$639.88 ,0,$0.00 ,($34.99),$604.89 ,$43.88 
Crabtree Valley Mall,Bradley Caldwell,183,$699.17 ,-3,($8.97),($0.48),$689.72 ,$50.03 
Crabtree Valley Mall,Brightkins,1,$29.99 ,0,$0.00 ,$0.00 ,$29.99 ,$2.17 
Crabtree Valley Mall,Brilliant Salmon Oil,5,$94.95 ,0,$0.00 ,$0.00 ,$94.95 ,$6.89 
Crabtree Valley Mall,Bubba Rose,11,$142.93 ,0,$0.00 ,$0.00 ,$142.93 ,$10.34 
Crabtree Valley Mall,Butcher's Block,25,$771.75 ,-1,($19.99),$0.00 ,$751.76 ,$54.53 
Crabtree Valley Mall,Calm Paws,1,$44.99 ,0,$0.00 ,$0.00 ,$44.99 ,$3.26 
Crabtree Valley Mall,Canine Caviar,27,$187.73 ,0,$0.00 ,$0.00 ,$187.73 ,$13.60 
Crabtree Valley Mall,Canophera,51,$879.49 ,-1,($12.99),$0.00 ,$866.50 ,$62.80 
Crabtree Valley Mall,Carna4,2,$45.98 ,0,$0.00 ,$0.00 ,$45.98 ,$3.34 
Crabtree Valley Mall,Cat,10,$9.90 ,0,$0.00 ,$0.00 ,$9.90 ,$0.71 
Crabtree Valley Mall,Chasing Our Tails,3,$37.97 ,0,$0.00 ,$0.00 ,$37.97 ,$2.76 
Crabtree Valley Mall,Chilly Dog,57,$260.43 ,0,$0.00 ,$0.00 ,$260.43 ,$18.94 
Crabtree Valley Mall,Chocolate Detox,1,$19.99 ,0,$0.00 ,$0.00 ,$19.99 ,$1.45 
Crabtree Valley Mall,Coastal,24,$354.76 ,0,$0.00 ,$0.00 ,$354.76 ,$25.72 
Crabtree Valley Mall,Colorado Pet Treats,16,$261.34 ,0,$0.00 ,$0.00 ,$261.34 ,$18.97 
Crabtree Valley Mall,Core,4,$99.96 ,0,$0.00 ,$0.00 ,$99.96 ,$7.24 
Crabtree Valley Mall,Cost Less Distributing,2,$19.98 ,0,$0.00 ,$0.00 ,$19.98 ,$1.46 
Crabtree Valley Mall,Crump's Naturals,23,$261.77 ,0,$0.00 ,($4.00),$257.77 ,$18.70 
Crabtree Valley Mall,DOOG USA,7,$174.93 ,0,$0.00 ,($35.00),$139.93 ,$10.15 
Crabtree Valley Mall,DOYENWORLD,1,$6.99 ,0,$0.00 ,$0.00 ,$6.99 ,$0.51 
Crabtree Valley Mall,Darford,329,$161.21 ,0,$0.00 ,$0.00 ,$161.21 ,$11.68 
Crabtree Valley Mall,Dexypaws,20,$353.80 ,0,$0.00 ,($2.85),$350.95 ,$25.48 
Crabtree Valley Mall,Dezi & Roo,44,$293.56 ,0,$0.00 ,$0.00 ,$293.56 ,$21.25 
Crabtree Valley Mall,Dog Treats,10,$222.90 ,0,$0.00 ,$0.00 ,$222.90 ,$16.15 
Crabtree Valley Mall,Dogline,6,$239.94 ,0,$0.00 ,$0.00 ,$239.94 ,$17.40 
Crabtree Valley Mall,Dooloop,1,$8.99 ,0,$0.00 ,$0.00 ,$8.99 ,$0.65 
Crabtree Valley Mall,Earth Animal,10,$144.90 ,0,$0.00 ,($21.98),$122.92 ,$8.89 
Crabtree Valley Mall,Earth Rated,16,$124.84 ,0,$0.00 ,$0.00 ,$124.84 ,$9.06 
Crabtree Valley Mall,Earthborn,12,$183.88 ,0,$0.00 ,($17.99),$165.89 ,$12.02 
Crabtree Valley Mall,Ecos,1,$7.49 ,0,$0.00 ,$0.00 ,$7.49 ,$0.54 
Crabtree Valley Mall,Ethical Cat,24,$137.76 ,0,$0.00 ,$0.00 ,$137.76 ,$9.97 
Crabtree Valley Mall,Eurodog,16,$123.85 ,0,$0.00 ,$0.00 ,$123.85 ,$8.97 
Crabtree Valley Mall,Evanger'S,17,$56.13 ,0,$0.00 ,$0.00 ,$56.13 ,$4.07 
Crabtree Valley Mall,Ezydog,18,$699.32 ,-2,($75.98),$0.00 ,$623.34 ,$45.20 
Crabtree Valley Mall,Flexi,7,$178.93 ,0,$0.00 ,$0.00 ,$178.93 ,$12.98 
Crabtree Valley Mall,Fluff & Tuff,153,"$2,639.47 ",0,$0.00 ,($10.00),"$2,629.47 ",$190.64 
Crabtree Valley Mall,From The Field,165,$610.35 ,0,$0.00 ,$0.00 ,$610.35 ,$44.27 
Crabtree Valley Mall,Fromm,35,$295.65 ,0,$0.00 ,($0.90),$294.75 ,$21.35 
Crabtree Valley Mall,Front Porch Pets,3,$44.97 ,0,$0.00 ,$0.00 ,$44.97 ,$3.27 
Crabtree Valley Mall,Fruitables,41,$287.59 ,0,$0.00 ,($4.99),$282.60 ,$20.48 
Crabtree Valley Mall,FuzzYard,3,$44.97 ,0,$0.00 ,$0.00 ,$44.97 ,$3.26 
Crabtree Valley Mall,Gaines Family Farms,6,$83.94 ,0,$0.00 ,$0.00 ,$83.94 ,$6.08 
Crabtree Valley Mall,Giftable World,25,$362.75 ,0,$0.00 ,$0.00 ,$362.75 ,$26.32 
Crabtree Valley Mall,Go Cat Feathers,54,$529.46 ,0,$0.00 ,$0.00 ,$529.46 ,$38.40 
Crabtree Valley Mall,Goli Design,9,$98.91 ,0,$0.00 ,$0.00 ,$98.91 ,$7.19 
Crabtree Valley Mall,GoughNuts,2,$99.98 ,0,$0.00 ,$0.00 ,$99.98 ,$7.26 
Crabtree Valley Mall,Grandma Lynch,19,$189.81 ,0,$0.00 ,($3.00),$186.81 ,$13.56 
Crabtree Valley Mall,Green Element,7,$196.93 ,0,$0.00 ,$0.00 ,$196.93 ,$14.28 
Crabtree Valley Mall,Green Pet,4,$224.96 ,0,$0.00 ,$0.00 ,$224.96 ,$16.31 
Crabtree Valley Mall,Growl,1,$16.99 ,0,$0.00 ,$0.00 ,$16.99 ,$1.23 
Crabtree Valley Mall,HPZ Pet Rover,1,$389.99 ,0,$0.00 ,($97.50),$292.49 ,$21.21 
Crabtree Valley Mall,Happy Howie's,203,$441.47 ,0,$0.00 ,$0.00 ,$441.47 ,$31.98 
Crabtree Valley Mall,Haute Diggity Dog,1,$5.00 ,0,$0.00 ,$0.00 ,$5.00 ,$0.36 
Crabtree Valley Mall,Himal Dog Treat,3,$22.97 ,0,$0.00 ,$0.00 ,$22.97 ,$1.66 
Crabtree Valley Mall,Home Range,60,$479.41 ,0,$0.00 ,$0.00 ,$479.41 ,$34.80 
Crabtree Valley Mall,Homeopet,4,$63.96 ,0,$0.00 ,$0.00 ,$63.96 ,$4.63 
Crabtree Valley Mall,Hot Cat,14,$142.86 ,0,$0.00 ,$0.00 ,$142.86 ,$10.37 
Crabtree Valley Mall,Hugglehounds,21,$306.79 ,0,$0.00 ,$0.00 ,$306.79 ,$22.24 
Crabtree Valley Mall,Hugsmart,2,$20.98 ,0,$0.00 ,$0.00 ,$20.98 ,$1.52 
Crabtree Valley Mall,Huxley & Kent,29,$366.71 ,-1,($19.99),($15.00),$331.72 ,$24.04 
Crabtree Valley Mall,Icelandic+,47,$270.53 ,0,$0.00 ,$0.00 ,$270.53 ,$19.63 
Crabtree Valley Mall,Imagine That Design,1,$53.99 ,0,$0.00 ,$0.00 ,$53.99 ,$3.92 
Crabtree Valley Mall,Inaba,40,$179.60 ,0,$0.00 ,($2.24),$177.36 ,$12.87 
Crabtree Valley Mall,Inclover,15,$318.85 ,0,$0.00 ,($3.00),$315.85 ,$22.88 
Crabtree Valley Mall,India Collars,1,$29.99 ,-2,($64.98),$0.00 ,($34.99),($2.54)
Crabtree Valley Mall,Injoya,1,$17.99 ,0,$0.00 ,$0.00 ,$17.99 ,$1.30 
Crabtree Valley Mall,Jolly,3,$68.97 ,0,$0.00 ,$0.00 ,$68.97 ,$5.00 
Crabtree Valley Mall,K9 Granola Factory,109,$669.92 ,0,$0.00 ,$0.00 ,$669.92 ,$48.58 
Crabtree Valley Mall,KOHA,15,$35.85 ,0,$0.00 ,($9.24),$26.61 ,$1.93 
Crabtree Valley Mall,Kennel Master,4,$83.96 ,0,$0.00 ,$0.00 ,$83.96 ,$6.08 
Crabtree Valley Mall,Kitty Boinks,18,$28.32 ,0,$0.00 ,$0.00 ,$28.32 ,$2.04 
Crabtree Valley Mall,Kong,107,"$1,317.93 ",0,$0.00 ,($6.00),"$1,311.93 ",$95.09 
Crabtree Valley Mall,Lambwolf,1,$19.99 ,0,$0.00 ,$0.00 ,$19.99 ,$1.45 
Crabtree Valley Mall,Lord Jameison,1,$14.99 ,0,$0.00 ,$0.00 ,$14.99 ,$1.09 
Crabtree Valley Mall,Lupine,146,"$2,504.04 ",-4,($70.96),$0.00 ,"$2,433.08 ",$176.42 
Crabtree Valley Mall,MYOS,1,$29.99 ,0,$0.00 ,$0.00 ,$29.99 ,$2.17 
Crabtree Valley Mall,Magic Carpet,4,$239.96 ,0,$0.00 ,$0.00 ,$239.96 ,$17.40 
Crabtree Valley Mall,Magic Cat Co,4,$43.96 ,0,$0.00 ,$0.00 ,$43.96 ,$3.19 
Crabtree Valley Mall,Messy Mutts,30,$499.70 ,0,$0.00 ,$0.00 ,$499.70 ,$36.21 
Crabtree Valley Mall,Midwest,3,$22.97 ,0,$0.00 ,$0.00 ,$22.97 ,$1.67 
Crabtree Valley Mall,Molly Mutt,2,$129.98 ,0,$0.00 ,$0.00 ,$129.98 ,$9.43 
Crabtree Valley Mall,Mountain Dog,15,$376.85 ,0,$0.00 ,$0.00 ,$376.85 ,$27.31 
Crabtree Valley Mall,Multipet,70,$775.30 ,0,$0.00 ,$0.00 ,$775.30 ,$56.22 
Crabtree Valley Mall,Natural Immunogenics,4,$85.96 ,0,$0.00 ,($12.00),$73.96 ,$5.37 
Crabtree Valley Mall,Nature Cide,1,$8.99 ,0,$0.00 ,$0.00 ,$8.99 ,$0.65 
Crabtree Valley Mall,Natures Logic,12,$280.89 ,0,$0.00 ,($24.00),$256.89 ,$18.65 
Crabtree Valley Mall,Necoichi,26,$703.24 ,0,$0.00 ,($38.50),$664.74 ,$48.22 
Crabtree Valley Mall,New Zealand Naturals,37,$379.63 ,0,$0.00 ,($29.97),$349.66 ,$25.32 
Crabtree Valley Mall,Nexderma,3,$81.97 ,0,$0.00 ,$0.00 ,$81.97 ,$5.94 
Crabtree Valley Mall,Nite Ize,5,$79.95 ,0,$0.00 ,$0.00 ,$79.95 ,$5.81 
Crabtree Valley Mall,Nocciola,43,$697.57 ,0,$0.00 ,$0.00 ,$697.57 ,$50.57 
